Title,Keywords,Research_Goal,Research_Question,Hypotheses,Methodology,Findings_Summary,Future_Research_Suggestions,Organisation,Author,Supervisor,Study_Programme,Submission_date,Source_File
Influencing sexual health perceptions and behavioural intentions through Instagram,"Instagram, sexual suggestiveness, social norms, descriptive norms, injunctive norms, sexual health, perception, behavioural intentions, sexual risk behaviour",to determine whether sexually suggestive content on Instagram influences the perception and intended behaviour regarding sexual risks among young adults,"How does the type of image (sexually suggestive vs not sexually suggestive) on Instagram influence young adults' perception of sexual health and how does it influence their sexual health behavioural intentions, and is this effect moderated by the inclusion of a social norms message?",H1a: Sexually suggestive Instagram posts will increase the perception of sexually risky behaviour among young adults compared to Instagram posts that are not sexually suggestive.; H1b: Sexually suggestive Instagram posts will increase sexually risky behaviour intentions among young adults compared to Instagram posts that are not sexually suggestive.; H2a: Including a descriptive norm within an Instagram post will strengthen the effect of a sexually suggestive picture on the perception of sexual health and sexual health behaviour intentions among young adults.; H2b: Including an injunctive norm within an Instagram post will strengthen the effect of a sexually suggestive picture on the perception of sexual health and sexual health behaviour intentions among young adults.,"This study takes a quantitative approach using a 2x3 between-subject factorial survey experiment design. An online experiment was conducted where participants were randomly assigned to one of six conditions manipulating the image (sexually suggestive vs. not sexually suggestive) and the caption (injunctive norm, descriptive norm, or control condition).","No significant effect of sexually suggestive images was found on perception or behavioural intention. Additionally, no significant effect was found regarding the moderation effect through the inclusion of a descriptive or injunctive norm.","['Future research could focus on the importance of who is conveying the message.', 'Gaining more insight into social networking sites could provide a new platform through which accurate sexual health information can be shared with hard to reach target audiences.']",not present,Abigail van Kasteren,Melanie de Looper,Graduate School of Communication,02-2022,c6163789.pdf
Communicating Corporate Citizenship to Stakeholders: Perspectives from Communication Professionals in the Netherlands,"corporate citizenship, sustainability communication, stakeholder engagement, authenticity, consistency",to investigate how communication professionals communicate sustainability initiatives amidst stakeholder pressure and resistance,How do communication professionals in the Netherlands communicate their social and environmental responsibilities to their stakeholders?,not present,"semi-structured interviews with 16 communication professionals in the Netherlands, qualitative analysis using coding techniques","authenticity and consistency are fundamental to all types of sustainability communication; strategies aid in increasing consumer engagement, stakeholder satisfaction, and corporate reputation","['Participants could be chosen from stricter criteria, for example, a certain level of experience, or a specific business sector, to explore how that would impact their answers.', 'CEO communication could hence be investigated as a part of corporate citizenship communication in the future.']",not present,Aishwarya Kottapurath,Anke Wonneberger,Masters Programme Communication Science,02-2021,c6164357.pdf
De Relatie tussen Mind-Mindedness van Ouders en de Theory of Mind van Kinderen,"mind-mindedness, Theory of Mind, moeders, vaders, mentaliseren, kindertijd","onderzoek te doen naar de relatie tussen vaderlijke en moederlijke mind-mindedness en de ToM van het 7.5-jarige kind, het mogelijke gecombineerde effect van ouderlijke mind-mindedness en het verkennen van de relatie tussen de positieve en negatieve emotionele classificaties van mind-mindedness en de ToM van het 7.5-jarige kind",Wat is de relatie tussen ouderlijke mind-mindedness en de Theory of Mind van kinderen op zevenenhalfjarige leeftijd?,"Dat zowel de mind-mindedness van moeders als van vaders een positief effect kan hebben op de ToM ontwikkeling van kinderen op zevenenhalf jaar.; Dat ouders door middel van mind-mindedness een even groot effect zouden kunnen hebben op de ToM ontwikkeling van kinderen op zevenenhalf jaar.; Een gecombineerd effect te vinden van de mind-mindedness van ouders samen, waarbij moeders meer mind-mindedness tonen wanneer vaders dit minder doen, en andersom.","Huidig onderzoek betreft een onderdeel van een groter longitudinaal onderzoek aan de Universiteit van Amsterdam. Participanten zijn 151 Nederlandse eerstgeborenen en hun ouders, waarbij de mind-mindedness en ToM zijn gemeten op 7.5 jaar. De mind-mindedness werd gemeten met een interview en de ToM met de ToM test-R.","De resultaten tonen aan dat hoe meer ouders mind-mindedness gebruiken, hoe beter de ToM van het zevenenhalfjarige kind ontwikkeld bleek. De positieve en negatieve emotionele lading van mind-mindedness van beide ouders bleek niet gerelateerd aan de ToM van het kind.","['Vervolgonderzoek te richten op de representationele mind-mindedness en de ToM ontwikkeling van kinderen op latere kinderleeftijd.', 'Onderzoek naar de effecten van de representationele vorm van mind-mindedness.', 'De ToM van het kind vanaf zevenenhalf jaar te meten.', 'Verder onderzoek te doen naar het onderscheid in emotionele ladingen van mind-mindedness.']",Universiteit van Amsterdam,Dora Marlène Woudwijk,"dr. Cristina Colonnesi, dr. Eddie Brummelman","Masterscriptie Orthopedagogiek, Pedagogische en Onderwijskundige Wetenschappen",03-2022,c6415749.pdf
Uncomfortable Honesty: A conversation about Humanitarians’ Psychological Safety,"humanitarians, psychological safety, MSF, intersectionality, race, gender, identity",to investigate humanitarians’ psychological safety within an organisational context,In what ways do humanitarians (with diverse profiles) experience psychological safety within MSF?,not present,Qualitative research using semi-structured interviews and critical discourse analysis of textual material. The study involved interviews with current and former MSF staff and analysis of MSF's official documents and materials from Decolonise MSF.,"The findings indicate a lack of intersectional understanding surrounding humanitarians within MSF, resulting in a racialised hierarchy of lives and low levels of psychological safety for those with diverse identities. The research highlights the need for MSF to engage with and support organic movements like DGH-MSF and the Rainbow Network.","['Further unpack the uncomfortable truth by engaging more voices.', 'Investigate the role of intersectionality in a hierarchy of life.', 'Explore how organisations can support their workforce and incorporate social divisions into their approach.']",not present,Maddy Pennington,"Polly Pallister-Wilkins, Jessica Soedirgo",Conflict Resolution and Governance,06-2022,c6883942.pdf
Subsistence Agriculture in Curaçao: Challenges and Potential for Boosting Food and Nutrition Security,"Subsistence agriculture, COVID-19, Food and Nutrition Security, Curaçao, Circular Economy",To investigate the influence of COVID-19 on the pillars of Food and Nutrition Security and the benefits of subsistence agriculture on current and future Food and Nutrition Security.,"What is the effect of COVID-19 on Food and Nutrition Security in Curaçao, and what is the potential of subsistence agriculture in addressing current and future Food and Nutrition Security challenges for the practitioners of subsistence agriculture in Curaçao?",not present,"The study employed a mixed methods approach, combining quantitative and qualitative data collected through a survey distributed to practitioners of subsistence agriculture in Curaçao. The survey included open-ended and quantitative questions regarding their experiences and opinions.","The findings indicated that COVID-19 negatively affected Food and Nutrition Security, with increased prices and decreased availability of food. However, subsistence agriculture was found to have a positive influence on food production and utilization, improving Food and Nutrition Security for some practitioners.","['Measuring sustainability through soil health, water quality, land use and biodiversity.', 'Researching social utilization and food safety in relation to Food and Nutrition Security.', 'Surveying in Spanish to include Venezuelan respondents.']",not present,Sophie Mossman,"Dr. Elisabeth Krueger, Dr. Nicky Pouw, Dr. Niels Beerepoot",International Development Studies,06-2022,c6885049.pdf
Tinkering Tikkie: The Relational Rules of Payment Request App Etiquette,"Payment request etiquette, money, relational work, reciprocity, quid pro quo rationalization",to better understand how payment apps are meaningfully used and relationally negotiated,How are payment apps appropriately used for handling everyday finances?,not present,"This mixed methods study uses a Zelizerian relational approach, combining quantitative surveys and qualitative interviews with graduate and undergraduate university students in the Netherlands.","The study shows that while payment apps like Tikkie create opportunities for asking money back, they also require relational work to maintain sociability and avoid over-rationalization.","['Future research should look at the hybrid mediation of payments and what cultural etiquettes are in place for the negotiation of specific forms of transactions.', 'It would be interesting for others to build onto my findings by doing a vignette experiment to test underlying mechanisms of moral evaluations of money and the acceptability of specific practices.']",University of Amsterdam,Benji van den Idsert,"Prof. dr. Olav Velthuis, Dr. Kobe de Keere",Research Master Social Sciences,06-2022,c6886645.pdf
When do we stop tolerating an intolerant society?,"shame, sexual development, queer adolescents, identity formation, representation",to explore how adolescents who identify as queer navigate feelings of shame during their sexual development,How do adolescents who identify as queer navigate feelings of shame during their sexual development?,not present,"The study used semi-structured interviews with ten participants who identify as queer, focusing on their experiences of shame during sexual development. The analysis involved coding the interviews using Atlas.ti to identify key themes.","The research found that queer adolescents experience a delayed puberty compared to their heterosexual peers, leading to feelings of shame and isolation. However, finding representation and community significantly aids in their acceptance and navigation of shame.","['Investigate how queer adolescents can redefine shame and leave the feeling of shame behind.', 'Conduct research from an intersectional lens to include race, class, and gender.']",not present,Nanna Vermaas,M. (Myra) Bosman MA MSc,"Master thesis, University of Amsterdam",06-2022,c6895206.pdf
not present,"nonbinary, kinship, gender norms, Taiwan, amatonormativity",to explore how the gender nonconformity of nonbinary people in Taiwan influences their understanding of kinship,How does the gender nonconformity of nonbinary people in Taiwan influence their understanding of kinship?,not present,"The study employed qualitative methods, including autobiographies and in-depth interviews with ten nonbinary individuals in Taiwan, using thematic framework analysis to identify patterns and themes.","The findings indicate that nonbinary individuals experience exclusion from traditional kinship structures and challenge amatonormative expectations, leading to a reimagining of kinship that values emotional connections over biological ties.","['Future research should include a more demographically diverse group across different age ranges.', 'Investigate different aspects of non-conventional relationships that fall outside of amatonormative expectations.']",not present,not present,"Dr. Margriet van Heesch, Myra Bosman",not present,not present,c6896015.pdf
UNDERSTANDING SENSE OF COMMUNITY THROUGH COMMUNITY INITIATIVES: A CASE STUDY ABOUT THE PLEIN ‘40-‘45 SQUARE AND MARKET,"Sense of community, community initiatives, diverse neighbourhoods, open-air markets, Amsterdam Marktvisie",to understand how community initiatives help foster a sense of community in a diverse neighbourhood,In what ways are community initiatives used to create a sense of community in culturally diverse neighbourhoods specifically by focusing on the case study of the Plein ‘40-‘45 square?,not present,"The study used qualitative methods including interviews, observations, and analysis of municipal documents to explore community initiatives and their impact on sense of community.","The research found that while there are physical and social structures that foster a sense of community, there are still groups in the neighbourhood that do not connect or interact with each other.","['More initiatives need to be implemented to foster a stronger sense of community.', 'Future research could explore the effectiveness of community initiatives in bridging cultural divides.']",Wij Zijn Plein ‘40-‘45,Enola Hihi,"Igor Tempels Moreno Pessoa, Herman Kok",MSC Urban and Regional Planning,06-2022,c6966150.pdf
Designing Sustainable Consumption,"sustainable design, E-grocery, environmental nudging, choice architecture, response efficacy beliefs, sustainable shopping",to examine the impact of environmental nudging (positive & negative) and choice architecture on sustainable shopping behaviour,To what extent do environmental nudging approaches (positive vs. negative vs. absent) and choice architecture (present vs. absent) in E-grocery apps influence sustainable shopping behaviour in the user? Is this relationship mediated by response efficacy beliefs?,"H1: Positive environmental nudging (ECO-based) in E-grocery apps results in more sustainable shopping behaviour when compared to no-nudging, but in less sustainable shopping behaviour when compared to negative environmental nudging (CO2-based).; H2: Present choice architecture in E-grocery apps results in more sustainable shopping behaviour when compared to absent choice architecture.; H3: Present choice architecture combined with environmental nudging (either positive or negative) in E-grocery apps results in more sustainable shopping behaviour when compared to either choice architecture or environmental nudging (either positive or negative) alone.; H4: The effect of sustainable design strategies (environmental nudging & choice architecture) on sustainable shopping behaviour is mediated via response efficacy beliefs.","The study employed a 3x2 between-subject factorial design with 287 participants, using a self-reported web-based questionnaire. Participants were randomly assigned to one of six experimental conditions to test the effects of environmental nudging and choice architecture on sustainable shopping behaviour.","Results showed that both environmental nudging and choice architecture increase sustainable shopping behaviour in consumers. However, the interaction of both variables did not show significant results, and no mediation effect was found in the model.","['Further research solely focused on choice architecture is required to further understand its effect on consumer shopping behaviours.', 'Future research should control for media savviness or familiarity with similar products prior to the app interaction.', 'Future research should measure the dependent variable via the products chosen by each participant to increase internal validity.', 'Future research should control for the effect of pricing in various price ranges to more accurately generalize the results.']",not present,Andres Aparicio,Dr. E.S. (Eline) Smit,MSc. Communication Science - Persuasive Communication,07-2022,c7008443.pdf
Effects of Persuasive Strategies and Message Fatigue on Counterarguing,"message fatigue, counterarguing, resistance, persuasive strategies, public health","To determine whether omega strategies are more effective at decreasing counterarguing than alpha strategies, and whether this is especially true when levels of message fatigue are high.","To which extent do omega strategies (vs. alpha strategies and a control message) influence counterarguing, and is this effect moderated by message fatigue?","H1: No message strategy will lead to less counterarguing among message receivers than when an omega strategy or an alpha strategy is used.; H2: The participants in the omega strategy condition will experience less counterarguing than message receivers in the alpha strategy condition.; H3a: If the level of message fatigue experienced by the receiver is high, this will increase the level of counterarguing caused by the persuasive message strategy. The moderating effect of message fatigue will be significantly stronger in the alpha condition than in the omega condition.; H3b: If the level of message fatigue experienced by the receiver is low, this will decrease the level of counterarguing caused by the persuasive message, for both omega and alpha conditions.","A between-subjects 3 x 2 experiment was conducted with 243 participants. The independent variable was message strategy (alpha, omega, control) and the moderator was message fatigue (low, high). Data was collected through an online survey.","The results showed that the persuasive conditions led to significantly different levels of counterarguing than the descriptive control message, but in the opposite direction as predicted. The use of omega strategies did not have a significant effect on counterarguing compared to alpha strategies.","['Studying omega strategies in the context of topics that are known to cause resistance, such as vaccination campaigns.', 'Examining the effects of message explicitness, in contrast to omega and alpha strategies, to see if this factor explains how persuasive messages influence counterarguing.', 'Further studies on the role of message fatigue and reactance.']",not present,Matilda Nilsson Morris,Nida Gizem Yilmaz,Communication Science: Persuasive Communication,07-2022,c7010498.pdf
"Health warnings in unhealthy food commercials in the war on obesity, a silver bullet or unnecessary regulation?","health warnings, unhealthy food commercials, eating intention, dietary restraint, obesity",to explore the possibility of adding a health warning in unhealthy food commercials to combat overweight and obesity in adults,"To what extent do health warnings (none, before, after) in video commercials for unhealthy food influence eating intentions, and how does dietary restraint (unrestrained, restrained) influence this relation?",H1: Either seeing a health warning before or after a food commercial will decrease the intention to consume the product compared to the condition without a health warning.; H2: A health warning at the beginning of the commercial will have a more negative effect on the intention to consume the product compared to a health warning after the commercial and to a higher extent the no health warning condition.; H3: The health warning will decrease the intention to consume the product more for restrained eaters compared to unrestrained eaters compared to the control condition without a health warning.,"The study used a 3 (no health warning, before, after) X 2 (restrained, unrestrained) between-subjects design in an online experiment with a total sample of 189 participants. Data was collected via a survey on Qualtrics, and eating intentions were measured through two questions.",The outcomes of the research were not as expected. Participants who saw a health warning did not have a significantly lower eating intention than the group who did not see a health warning. The moderating role of dietary restraint also did not have a significant effect.,"['Conduct future research on a lower educated sample with a higher BMI.', 'Include more participants and multiple exposures to health warnings.', 'Explore the effects of repeated exposure to health warnings on eating intentions.']",not present,Sybren Hindriks,Birthe Lehmann,Persuasive Communication,07-2022,c7011701.pdf
"Going with the flow: The effects of VR gaming on spatial presence, flow, and positive emotions","video games, virtual reality, positive emotions, spatial presence, flow",to investigate the underlying mechanisms of experiencing positive emotions in VR games,To what extent does VR gaming vs desktop gaming influence experiencing positive emotions in adults? To what extent is this effect mediated by spatial presence and flow?,H1: VR gaming will lead to experiencing a higher level of positive emotions than desktop gaming.; H2: VR gaming will lead to a higher level of spatial presence than desktop gaming.; H3: A higher level of spatial presence will lead to experiencing more positive emotions.; H4: VR gaming will lead to a higher level of flow than desktop gaming.; H5: A higher level of flow will be related to higher positive emotions.; H6: A higher level of spatial presence relates to a higher feeling of flow.; H7: Spatial presence and flow positively mediate the effect of VR gaming on positive emotions.,"This experimental lab study involved 68 university students randomly assigned to play a game in either VR or desktop mode for 25 minutes, followed by a questionnaire assessing positive emotions, spatial presence, and flow. The study utilized a two-group experimental design with mediation analysis.","VR gaming did not lead to an increase in positive emotions directly. However, the effect of VR gaming on positive emotions was serial mediated through spatial presence and flow. VR gaming led to higher spatial presence, which was related to higher feelings of flow, subsequently predicting a higher level of positive emotions.","['Future research should use VR headsets that offer adjustable IPD ranges such as the Oculus Quest 2.', 'Game developers should consider the biological differences between males and females and design products suitable for all genders.', 'Future studies should recruit a more balanced sample in terms of gender and age.']",not present,Melissa Quirijnen,Drs. Ewa Międzobrodzka,Graduate School of Communication,07-2022,c7012368.pdf
“Nasty” Women and “Deplorable” Men in Politics: A Content Analysis of the Online News Coverage of the 2016 United States Presidential Election.,"gender-bias, gender-news frames, gender-based disinformation, online news coverage, 2016 US presidential election",to identify how gender-based disinformation strategies are employed in political news coverage to delegitimize the image of women politicians,"How are gender-based disinformation strategies, shaming and discrediting, employed in political news coverage to delegitimize the image of women politicians?",Fox News will have a higher presence of gendered-based disinformation in online news articles covering Hillary Clinton and Donald Trump during the 2016 elections.; Fox News will have a higher presence of gendered-based disinformation attacking Hillary Clinton in online news articles covering the 2016 elections.,"The study employed a quantitative content analysis of online news articles from CNN and Fox News, focusing on the presence of gender-based disinformation tactics. The sample consisted of 297 articles collected through random sampling, analyzing both textual and visual content.","The findings revealed that both CNN and Fox News used gender-based disinformation tactics, with Fox News employing them more frequently, particularly in discrediting tactics targeting Clinton. The results partially supported the hypotheses.","['Further research should focus on the attribution of feminine traits to male politicians.', 'An analysis of social media coverage could provide insight into the employment of gender-based disinformation at other levels.', 'Studying GBD through reception can illustrate how it affects public perceptions.']",not present,Andrea Caballero,Dr. Annelien van Remoortere,Political Communication,07-2022,c7012659.pdf
"To pee or not to pee, that’s the question: An analysis of how people navigate sex/gender segregated public bathrooms in the Netherlands","public bathrooms, sex/gender binary, gender policing, cisnormativity, heterosexual matrix, queering space",to understand how people in the Netherlands navigate the different inclusions and exclusions proffered by the bathroom as a gendered space,How do cisgender and queer people navigate sex/gender segregated public bathrooms in the Netherlands?,Cisgender and queer people navigate sex/gender segregated public bathroom facilities and design in the Netherlands.; Cisgender and queer people do and police sex/gender in gender segregated public bathrooms in the Netherlands.; Cisgender and queer people navigate the public bathroom debate.,"The study employed a qualitative methodology using semi-structured interviews with 14 participants, including cisgendered women, men, and genderqueer, trans, non-binary, and genderfluid individuals. Thematic analysis was used to analyze the data.",The findings revealed that public bathrooms are sites of gendered inequalities and that experiences vary significantly between cisgender and non-cisgender individuals. The research highlighted the complexities of navigating gendered spaces and the emotional burdens faced by non-normatively gendered individuals.,"['Further examine how the Dutch paradox of tolerance becomes foregrounded in the public bathroom space.', 'Investigate classed, raced, and ableist inequalities in intersection with gendered inequalities of the public bathroom space.']",not present,Puck van Tussenbroek,"Kristina Kolbe, Margriet van Heesch",Master of Science in Sociology,07-2022,c7018684.pdf
Technological Advancements in Online Advertising: Exploring the Effects of AR try-on Filters on Different Platforms in Relation to Self-Esteem,"AR try-on filters, purchase intention, brand attitude, self-esteem","to investigate the effect of the presence of AR try-on filters in product presentation on brand attitude and purchase intention, and the different effects such filters have on different platforms for consumers with different levels of self-esteem","to what extent do AR try-on filters in different contexts affect attitude towards the brand and purchase intention, and whether this effect is moderated by self-esteem","H1a: Product presentation with AR try-on filters leads to higher attitude towards the brand than product presentation without AR try-on filters.; H1b: Product presentation with AR try-on filters leads to higher purchase intention than product presentation without AR try-on filters.; H2a: The positive effect of AR try-on filters on attitude towards the brand compared to no AR try-on filters will be higher for consumers with higher levels of self-esteem than for consumers with lower levels of self-esteem.; H2b: The positive effect of AR try-on filters on purchase intention compared to no AR try-on filters will be higher for consumers with higher levels of self-esteem than for consumers with lower levels of self-esteem.; H3a: For people with low self-esteem, the online shop AR try-on filter will lead to higher attitude towards the brand than the Instagram AR try-on filter.; H3b: For people with low self-esteem, the online shop AR try-on filter will lead to higher purchase intention than the Instagram AR try-on filter.; H4a: For people with high self-esteem, the Instagram AR try-on filter will lead to higher attitude towards the brand than the online shop AR try-on filter.; H4b: For people with high self-esteem, the Instagram AR try-on filter will lead to higher purchase intention than the online shop AR try-on filter.",The study employed a 3 (Instagram AR try-on filter vs. online shop AR try-on filter vs. control) x 2 (high vs. low self-esteem) between-subjects quasi-experiment with a sample of 300 participants gathered through convenience and snowball sampling.,"The results showed no significant effects of presence of AR try-on filters in product presentation on brand attitude or purchase intention, and no significant interaction effects of self-esteem and presence of AR try-on filters.","['Future research should tackle the issue with the use of a different, less popular brand, so to increase validity of the results.', 'Measuring brand attitude and purchase intention not only after, but also before the participants are exposed to the stimuli, would enable to exclude that the high scores on the dependent variables were due to the mere exposure to the product presentations.', 'Future research is advised to use a different scale and measure body-image rather than self-esteem as moderator of the effects of AR try-on filters on brand attitude and purchase intention of apparel products.', 'Future research should use consistent stimuli over each condition and groups of comparable sizes.']",not present,Irene Landi,Brahim Zarouali,Master’s programme Communication Science,06-2022,c7026827.pdf
Mind-Mindedness van Vaders en Moeders: Ouderlijke Verschillen tijdens het Zevende Levensjaar van hun Kind,"mind-mindedness, ouders, vaders, moeders, interactie, kinderen, gehechtheid",Het doel van huidig onderzoek is om bij te dragen aan het bestaande onderzoek door meer empirische evidentie te vergaren over de ouderlijke verschillen in interactionele mind-mindedness.,Wat zijn de verschillen van interactionele mind-mindedness tussen vaders en moeders bij hun kind op zevenjarige leeftijd?,Vaders en moeders zullen geen significante verschillen vertonen in de totale mate van interactionele mind-mindedness.; Moeders zullen significant hoger scoren op mind-minded opmerkingen over wensen en emoties dan vaders.,De studie was onderdeel van een longitudinaal onderzoek. 86 gezinnen werden gefilmd tijdens twee taken: een conflict bespreken en een vakantie plannen. De video-opnames werden getranscribeerd en gecodeerd volgens het protocol van Meins en Fernyhough (2015).,"Moeders vertoonden over het algemeen meer interactionele mind-mindedness dan vaders. In de conflictsituatie maakten moeders significant meer mind-minded uitspraken dan vaders, maar in de vakantiesituatie was er geen significant verschil.","['De individuele vaardigheden van interactionele mind-mindedness van vaders en moeders in een setting apart van elkaar te analyseren.', 'Een longitudinaal onderzoeksdesign voor interactionele mind-mindedness van ouders bij hun kinderen in de latere kindertijd.']",Universiteit van Amsterdam,Jasmijn Bakker,"Dr. Cristina Colonnesi, Dr. Eddie Brummelman","Masterscriptie Orthopedagogiek, Pedagogische en Onderwijskundige Wetenschappen",06-2022,c7066443.pdf
Zingen zonder woorden,"jodelen, woordloze zangkunst, culturele identiteit, antropologie",onderzoeken hoe en waarom de jodel beoefend wordt door jodelaars in Wenen en Salzburg,Hoe en waarom wordt de jodel beoefend door jodelaars in Wenen en Salzburg?,not present,"Empirisch onderzoek met kwalitatieve interviews en observaties. Het omvatte het voeren van gesprekken met jodelaars, het bijwonen van concerten en workshops, en het documenteren van ervaringen via videodagboeken.","De jodel is een belangrijke culturele uitdrukking voor de beoefenaars, die het ervaren als een verbinding met hun verleden en identiteit. De bevindingen bevestigen de verwachtingen dat jodelen een diepere betekenis heeft dan alleen muziek.","['Onderzoek naar de impact van jodelen op de sociale cohesie binnen gemeenschappen.', 'Dieper ingaan op de rol van jodelen in de hedendaagse Oostenrijkse cultuur.']",not present,Marianne Selleger,Alex Starting & Mattijs van de Port,Master Visuele Anthropologie,not present,c8365841.pdf
Small & Flexible living: a solution to the housing shortage or normalisation of precariousness? An analysis of the Dutch housing market,"Dutch housing market, housing shortage, temporary rental contracts, small and flexible living, qualitative housing shortage",to explore and describe Dutch housing and hopefully serve as a starting point from which more in-depth research can be based,to what extent can small and flexible living alleviate some of the pressure that the current housing market finds itself under?,not present,"The study uses data from Woononderzoek 2021, a national housing survey in the Netherlands, and employs qualitative analysis to examine the consequences of the Dutch government's strategy on housing supply.","The attempt to solve the Dutch housing shortage through flexibilization and shrinking of home size is not a viable strategy to solve the housing shortage, since it will amplify the qualitative housing shortage.","['Investigate the demographic composition of small and flexible housing.', 'Analyze the effects of individual and housing characteristics on perceived housing quality.']",Planbureau voor de Leefomgeving,Joris Karim Briët,"Aslan Zorlu, Jolien Groot",not present,07-2023,c8932255.pdf
Burgerschapsvorming vol waarde(n),"waardedoelen, waarden, burgerschapsvorming, docentkenmerken, voortgezet onderwijs",Het huidige onderzoek tracht de waardedoelen van docenten in het Nederlandse voortgezet onderwijs in kaart te brengen.,Welke waardedoelen vinden docenten in het Nederlandse voortgezet onderwijs van belang bij burgerschapsvorming?,not present,"Kwantitatieve analyse van gegevens uit de Nederlandse dataset van de International Civic and Citizenship Education Study (ICCS) 2022, met beschrijvende, verklarende en vergelijkende elementen.","Docenten hechten aanzienlijk belang aan alle drie de soorten waardedoelen, met een voorkeur voor maatschappelijke betrokkenheid, gevolgd door kritisch denken/autonomie en discipline/aanpassing. De waardedoelen zijn significant hoger dan in het onderzoek van Leenders et al. (2008) voor kritisch denken/autonomie en maatschappelijke betrokkenheid.","['Vervolgonderzoek zal moeten uitwijzen of deze bevindingen vaker bevestigd zullen worden.', 'Onderzoek naar conflicterende of rivaliserende waardenposities onder docenten.']",not present,Merel (M.S.) Harkmans,"dr. Remmert Daas, dr. Daury Jansen",Masterscriptie Onderwijswetenschappen,06-2023,c8964888.pdf
Environmental Identities in Times of Flux: Understanding How Non-EU Work Migrants Perceive Change to Their Environmental Identity,"environmental identity, migration, Kempton and Holland’s environmental identity framework, acculturation",To emphasize the social side of environmental identity to understand how non-EU work migrants co-mingle with other cultures and perceive change to their environmental identity.,How do non-EU work migrants perceive change to their environmental identity post-migration?,How does perceived change in environmental identity relate to changes in pro-environmental behavior?; What is the role of acculturation in any perceived change to non-EU work migrants' environmental identity or behavior?,"Qualitative approach using semi-structured interviews to capture diverse, culturally specific environmental practices. Thematic analysis was employed to identify core themes.","All twelve participants experienced significant changes to their environmental identity after moving to the Netherlands, largely influenced by their social groups and community interactions.","['Further research regarding this topic in other locations that would also include a stronger emphasis on the integration aspect of the work migrants.', 'Research on conscious versus unconscious assimilation pro-environmental choices.']",not present,Robert Rescino,Dr. Catherine Wong,"Environment, Society and Sustainability",06-2023,c9054013.pdf
The Position of Orange on the Rainbow,"queer community, young queer people, perceptions, aspirations, Netherlands",to find out how young queer people between the ages of 18-30 who live in Amsterdam perceive the position of the queer community in the Netherlands and what they aspire for the future of the community,How do young queer people in Amsterdam perceive the position of the queer community in the Netherlands and what do they aspire for the future of the community?,not present,Qualitative approach using four semi-structured focus group interviews with a total of sixteen participants. The focus groups aimed to capture in-depth experiences and perspectives of young queer people regarding their concerns and aspirations for the queer community.,"Participants expressed pride in the achievements of the queer community but felt that more needs to be done, especially for marginalized groups. They recognized ongoing issues such as conditional acceptance and the need for more inclusive policies and representation.","['Include more diverse participants from all parts of the queer community.', 'Conduct longitudinal research to observe how aspirations and concerns evolve over time.']",not present,Amber Scheffer,"Dr. Evelyne Baillergeau, Dr. Jaron Harambam",Master Sociology – University of Amsterdam,06-2023,c9059185.pdf
"HOW TO LOVE 101: HETERSEXUAL YOUNG DUTCH MEN THEIR EXPERIENCES OF MEDIATED AND EVERYDAY LOVE, ROMANCE AND ROMANTIC GENDER ROLES","romantic movies, heteronormativity, gender roles, romantic ideals, love, relationships","to analyze how heterosexual young Dutch men experience mediated portrayals of love, romance, romantic relationships and romantic gender roles and how they relate these to their real-life romantic experiences and vice versa","What are the experiences of heterosexual Dutch young men regarding mediated- and everyday love, romance, and romantic gender roles, and how do they relate these mediated- and real-life experiences to one another?",not present,"This research took an inductive approach following grounded theory, conducting 10 in-depth semi-structured narrative interviews with self-proclaimed heterosexual young Dutch men aged 21 to 35. The interviews were analyzed using in vivo coding.","Most participants experienced mediated love stories as unrealistic/unrelatable due to their overly romantic, idealized, and heteronormative nature compared to their more toned-down, negative, and modern personal romantic experiences. For men with more positive personal romantic experiences, mediated love stories were experienced as more realistic/relatable. The majority rejected heteronormative portrayals, indicating that everyday experiences weigh more in shaping their romantic beliefs and behavior.","['Research is conducted on the potential different experiences of older movies and more recent movies.', 'More research is conducted on specifically the dominant heterosexual courtship conventions.', 'This qualitative approach is replicated for women to gain insight in how women experience mediated love stories.']",not present,Aquina Laban,"Dr. Rébecca Franco, Dr. Marie-Louise Janssen",MSc Sociology,06-2023,c9065191.pdf
